"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\PlanCompte\ClasseController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\PlanCompte\CompteController.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 4, 21, 88
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\PlanCompte\DeviseController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 15, 18, 89
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\PlanCompte\RubriqueController.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 3, 18, 83
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\PlanCompte\SousCompteController.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 2, 18, 82
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\AmortissementController.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 7, 22, 126
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\DeviseController.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 13, 55
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\GrandLivreController.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 18, 28, 133
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\JournalController.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 2, 18, 86
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\LigneEcritureController.php", "PHP", 583, 0, 0, 0, 0, 0, 0, 31, 90, 704
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\ModePaiementController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 11, 47
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\MouvementEcritureController.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 5, 21, 102
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Saisie\TypeJournalController.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 11, 46
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\calcul\ComptesCategorieController.php", "PHP", 445, 0, 0, 0, 0, 0, 0, 64, 62, 571
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\calcul\IntervalleComptesCategorieController.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 21, 17, 111
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\calcul\UtilesController.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 76, 29, 202
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\exercice\ExerciceComptableController.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 39, 33, 199
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\BalanceController.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 18, 18, 79
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\BilanActifController.php", "PHP", 201, 0, 0, 0, 0, 0, 0, 29, 70, 300
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\BilanPassifController.php", "PHP", 176, 0, 0, 0, 0, 0, 0, 35, 60, 271
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\CompteResultatFonctionController.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 10, 23, 107
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\CompteResultatNatureController.php", "PHP", 157, 0, 0, 0, 0, 0, 0, 10, 13, 180
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\FluxTresorerieController.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 33, 36, 194
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\general\VariationsCapitauxController.php", "PHP", 160, 0, 0, 0, 0, 0, 0, 23, 30, 213
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\import\ImportEcritureController.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 11, 54, 335
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\notifications\EvenementController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 12, 10, 51
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\notifications\NotificationController.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 25, 19, 105
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\notifications\NotificationsController.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 2, 6, 48
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\tableau\DashboardController.php", "PHP", 157, 0, 0, 0, 0, 0, 0, 10, 31, 198
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Kernel.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Requests\StoreEvenementRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Requests\StoreNotificationRequest.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Listeners\RafraichirVuesTemporelles.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 5, 6, 29
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ChatBot\ChatMessage.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 3, 5, 25
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\EmailVerification.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Error.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\AffectationAnalytique.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\AxeAnalytique.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\CentreAnalytique.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\CodeAnalytique.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\IndicateurAnalytique.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 3, 10, 35
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\InterpretationIndicateur.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 21, 51
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\NiveauAlerte.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 17, 38
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\ParametresAnalytique\TypeCentre.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\Amortissement.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\Classe.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 6, 10, 33
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\Compte.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 22, 9, 54
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\ExerciceComptable.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 6, 8, 42
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\Rubrique.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 1, 7, 31
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\SousCompte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 1, 8, 36
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\PlanCompte\TauxAmortissement.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\Devise.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\GrandLivre.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 1, 7, 18
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\Journal.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 9, 41
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\LigneEcriture.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 11, 67
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\ModePaiement.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\MouvementEcriture.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\Saisie\TypeJournal.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\User.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 20, 12, 71
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\CategorieFonctionelles.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 38, 13, 93
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\CompteCategories.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 32, 11, 80
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\Duree.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 26, 9, 55
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\FonctionEconomiques.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 26, 9, 55
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\IntervalleComptesCategorie.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 30, 10, 63
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\NatureComptable.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 26, 9, 55
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\calcul\TypeCategories.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 26, 9, 55
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\exercice\ExerciceComptable.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 22, 14, 88
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\general\Balance.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\import\ImportHistory.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\notifications\Evenement.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\notifications\NiveauUrgence.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\notifications\Notification.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 3, 11, 58
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Models\notifications\TypeEvenement.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Notifications\EmailVerificationCode.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Notifications\ResetPasswordNotification.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 4, 5, 27
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Providers\EventServiceProvider.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 6, 32
