sous_compte;centre;code_type;taux;description
707001;Ventes;PROFIT;100;Vente de fournitures scolaires
707002;Ventes;PROFIT;100;Vente de uniformes scolaires
707003;Ventes;PROFIT;100;Vente de articles divers (snack, boissons)
708001;Ventes;PROFIT;100;Location salles ou materiels
708002;Activités;PROFIT;100;Organisation fetes et evenements
708003;Activités;PROFIT;100;Club parascolaire (sport musique art)
709001;Ventes;PROFIT;100;Remises frais de scolarite
709002;Ventes;PROFIT;100;Rabais sur ventes de fournitures
713001;Ventes;PROFIT;100;Variation stock fournitures
713002;Ventes;PROFIT;100;Variation stock uniformes
714001;Ventes;PROFIT;100;Variation stock livres
714002;Ventes;PROFIT;100;Variation stock marchandises annexes
721001;Productions;PROFIT;100;Developpement logiciel pedagogique
722001;Productions;PROFIT;100;Amenagements classes ou laboratoires
741001;Finances;PROFIT;100;Subvention de lEtat
741002;Finances;PROFIT;100;Subvention dautorites locales
748001;Finances;PROFIT;100;Subvention ONG et associations
748002;Finances;PROFIT;100;Subvention entreprises privees
751001;Productions;PROFIT;100;Location logiciels pedagogiques
751002;Productions;PROFIT;100;Utilisation brevets pedagogiques
752001;Finances;PROFIT;100;Cession anciens ordinateurs
752002;Finances;PROFIT;100;Cession anciens vehicules scolaires
753001;Administration;PROFIT;100;Remuneration conseil administration
754001;Finances;PROFIT;100;Subventions constructions batiments
756001;Finances;PROFIT;100;Dons de materiels scolaires
756002;Finances;PROFIT;100;Dons financiers
757001;Finances;PROFIT;100;Produits exceptionnels sur gestion
758001;Finances;PROFIT;100;Revenus divers non specifies
761001;Finances;PROFIT;100;Revenus participation associations scolaires
763001;Finances;PROFIT;100;Revenus creances sur parents
764001;Finances;PROFIT;100;Revenus placement court terme
766001;Finances;PROFIT;100;Gains sur operations devises
768001;Finances;PROFIT;100;Produits financiers divers
781001;Finances;PROFIT;100;Reprise sur batiments
781002;Finances;PROFIT;100;Reprise sur materiels
785001;Finances;PROFIT;100;Reprise sur stocks
786001;Finances;PROFIT;100;Reprise sur emprunts
786002;Finances;PROFIT;100;Reprise sur creances douteuses
